2018;10;05;02;00;18.11;28.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.07;63.43;13.48;55.89;15.58;96.63;10.08
2018;10;05;03;00;17.85;26.00;1016.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.64;70.02;21.53;69.44;18.45;95.60;18.36
2018;10;05;04;00;18.17;23.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.98;70.56;19.96;97.25;19.35;99.64;16.56
2018;10;05;05;00;18.29;26.00;1015.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.72;79.38;22.55;118.61;20.77;115.68;16.92
2018;10;05;06;00;18.35;34.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.72;79.38;23.60;111.48;25.07;125.06;16.92
2018;10;05;07;00;17.49;39.00;1015.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.85;78.69;26.87;107.95;27.17;122.01;29.88
2018;10;05;08;00;17.74;43.00;1015.50;0.00;0.00;0.00;0.00;0.00;0.00;28.70;9.79;14.26;79.82;30.17;109.52;27.36;122.64;31.68
2018;10;05;09;00;21.97;45.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;155.75;16.17;101.56;22.55;109.59;26.43;127.81;34.56
2018;10;05;10;00;24.22;53.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;342.65;24.19;126.53;28.01;127.16;31.10;127.00;33.48
2018;10;05;11;00;24.96;56.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;501.96;28.51;135.00;33.09;135.00;33.74;129.81;37.08
2018;10;05;12;00;25.49;54.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;628.34;30.08;137.91;34.39;137.12;35.87;128.48;42.12
2018;10;05;13;00;26.31;49.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;707.55;25.70;142.97;28.95;141.56;29.31;117.82;33.84
2018;10;05;14;00;25.83;54.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;728.91;25.96;146.31;28.76;145.71;29.83;119.66;30.60
2018;10;05;15;00;25.53;57.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;694.20;23.77;147.99;26.18;148.50;30.87;121.65;28.80
2018;10;05;16;00;25.44;58.00;1014.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;606.09;20.81;149.89;23.22;150.26;28.36;123.08;26.28
2018;10;05;17;00;25.07;60.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;472.59;18.09;148.84;20.32;150.26;31.06;122.22;24.12
2018;10;05;18;00;24.25;64.00;1013.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;301.71;14.11;142.25;15.99;144.16;30.07;121.79;21.24
2018;10;05;19;00;22.03;74.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;14.08;111.25;7.10;120.47;11.09;125.75;28.66;122.69;12.96
2018;10;05;20;00;21.35;75.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.89;7.17;72.47;10.11;94.09;28.47;122.08;14.04
2018;10;05;21;00;21.22;71.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.44;50.19;12.07;79.70;28.86;123.29;15.12
2018;10;05;22;00;21.02;68.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.89;58.24;14.40;90.00;28.88;125.87;15.48
2018;10;05;23;00;20.58;63.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.36;67.38;14.47;95.71;29.24;128.00;14.40
2018;10;06;00;00;19.12;50.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.37;69.68;14.59;105.75;28.53;132.95;14.76
2018;10;06;01;00;18.20;43.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.28;73.30;17.53;109.18;31.07;136.88;15.12
2018;10;06;02;00;17.69;60.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.22;76.37;21.66;105.42;32.55;141.74;19.08
2018;10;06;03;00;16.90;74.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.43;79.99;25.17;106.62;31.56;145.22;23.04
2018;10;06;04;00;16.11;85.00;1013.50;0.00;0.00;1.20;4.00;0.00;0.00;0.00;0.00;12.85;78.69;26.55;105.73;28.46;145.30;22.68
2018;10;06;05;00;15.69;90.00;1014.20;0.00;0.00;3.90;13.00;0.00;0.00;0.00;0.00;12.57;76.76;26.21;105.95;25.68;148.76;20.88
2018;10;06;06;00;15.43;92.00;1014.20;0.00;0.00;3.90;13.00;2.00;0.00;0.00;0.00;13.01;75.58;25.96;106.93;23.36;151.46;25.20
2018;10;06;07;00;15.40;93.00;1014.40;0.00;0.00;100.00;22.00;100.00;27.00;0.00;0.00;11.97;74.29;24.36;108.97;21.33;158.20;20.16
2018;10;06;08;00;16.72;85.00;1015.00;0.00;0.00;81.00;31.00;81.00;0.00;3.85;10.68;12.86;72.07;22.10;106.07;17.81;165.96;23.76
2018;10;06;09;00;21.34;65.00;1015.60;0.00;0.00;83.00;24.00;83.00;0.00;7.02;160.20;13.44;97.70;15.19;103.71;13.32;180.00;24.12
2018;10;06;10;00;23.20;65.00;1015.50;0.00;0.00;100.00;0.00;100.00;2.00;0.00;315.95;16.36;129.64;18.16;129.37;11.18;194.93;21.60
2018;10;06;11;00;24.30;60.00;1015.20;0.00;0.00;91.00;0.00;91.00;0.00;1.91;484.16;16.28;144.90;17.94;141.52;8.28;180.00;15.84
2018;10;06;12;00;25.50;51.00;1015.80;0.00;0.00;72.00;0.00;72.00;0.00;14.04;606.09;14.33;154.72;14.83;150.95;3.32;139.40;15.12
2018;10;06;13;00;24.97;62.00;1016.40;0.00;0.00;3.00;10.00;0.00;0.00;58.09;691.53;18.21;161.57;19.72;158.59;4.90;342.90;17.64
2018;10;06;14;00;24.54;68.00;1015.90;0.00;0.00;4.00;9.00;0.00;4.00;57.45;704.88;16.04;170.96;16.87;168.93;5.62;39.81;15.12
2018;10;06;15;00;24.00;72.00;1016.30;0.00;0.00;63.00;4.00;0.00;63.00;19.79;668.39;12.43;190.01;12.07;190.30;7.90;65.77;11.52
2018;10;06;16;00;23.28;75.00;1016.30;0.00;0.00;100.00;5.00;0.00;100.00;0.00;574.94;11.49;212.20;11.49;212.20;10.09;87.95;10.08
2018;10;06;17;00;22.49;80.00;1016.20;0.00;0.00;100.00;3.00;0.00;100.00;0.00;420.97;11.30;232.77;11.53;231.34;11.04;109.03;12.60
2018;10;06;18;00;22.38;81.00;1016.10;0.00;0.00;35.00;2.00;0.00;35.00;37.66;241.19;12.29;264.96;13.40;263.83;9.93;133.53;11.52
2018;10;06;19;00;21.65;79.00;1016.10;0.00;0.00;3.30;11.00;0.00;2.00;12.16;115.70;16.92;321.91;23.66;326.79;8.83;168.23;16.20
2018;10;06;20;00;19.66;85.00;1016.10;0.00;0.00;3.30;11.00;0.00;0.00;0.00;0.89;17.25;336.64;25.74;339.54;7.09;203.96;17.64
2018;10;06;21;00;19.09;84.00;1016.30;0.00;0.00;3.30;11.00;0.00;0.00;0.00;0.00;11.21;354.47;19.44;360.00;5.09;261.87;11.88
2018;10;06;22;00;17.85;87.00;1016.70;0.00;0.00;3.60;12.00;0.00;0.00;0.00;0.00;8.40;9.87;12.25;1.68;3.71;330.95;11.88
2018;10;06;23;00;17.07;86.00;1016.50;0.00;0.00;1.80;6.00;0.00;0.00;0.00;0.00;9.36;22.62;16.79;30.96;3.24;360.00;15.48
2018;10;07;00;00;17.35;67.00;1016.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.92;28.89;28.04;29.20;4.02;333.43;10.44
2018;10;07;01;00;17.21;65.00;1016.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.30;30.53;30.57;32.01;6.49;3.18;20.88
2018;10;07;02;00;16.79;62.00;1016.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.58;31.53;33.96;32.01;4.80;12.99;14.40
2018;10;07;03;00;16.23;62.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.78;32.47;32.95;33.86;2.19;9.46;17.28
2018;10;07;04;00;15.09;68.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.41;29.74;32.97;31.61;2.10;329.04;16.20
2018;10;07;05;00;13.62;76.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.83;29.05;30.19;30.85;6.16;276.71;9.00
2018;10;07;06;00;12.76;82.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.04;27.98;27.97;31.85;10.46;273.95;10.44
2018;10;07;07;00;11.96;87.00;1016.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.92;28.89;27.87;35.54;12.30;290.56;10.80
2018;10;07;08;00;12.44;83.00;1016.40;0.00;0.00;0.00;0.00;0.00;0.00;26.95;8.01;11.30;30.65;23.98;35.84;12.10;306.53;9.72
2018;10;07;09;00;16.93;64.00;1017.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;149.52;8.09;32.28;15.31;41.19;13.28;327.17;6.48
2018;10;07;10;00;21.70;47.00;1017.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;336.42;5.99;32.74;6.13;40.24;13.24;337.62;3.96
2018;10;07;11;00;24.44;39.00;1016.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;496.62;0.72;360.00;0.36;360.00;13.22;330.64;3.60
2018;10;07;12;00;25.63;37.00;1016.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;623.00;6.11;225.00;6.37;222.71;14.34;331.50;9.72
2018;10;07;13;00;27.22;31.00;1016.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;694.20;6.79;237.99;6.29;246.37;17.58;317.49;11.88
2018;10;07;14;00;29.56;25.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;716.45;10.50;275.91;11.72;280.62;16.78;324.61;14.04
2018;10;07;15;00;29.66;21.00;1015.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;682.63;18.97;303.39;20.75;308.66;16.14;321.34;20.52
2018;10;07;16;00;28.16;22.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;596.30;24.97;312.66;27.75;315.53;16.09;310.46;23.40
2018;10;07;17;00;26.20;23.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;461.91;25.64;321.84;29.17;324.54;16.20;306.87;25.56
2018;10;07;18;00;23.67;31.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;291.92;22.97;327.80;26.80;329.30;17.28;305.68;24.48
2018;10;07;19;00;20.15;43.00;1015.60;0.00;0.00;0.00;0.00;0.00;0.00;11.14;102.35;18.36;334.44;24.64;334.93;17.97;302.74;21.60
2018;10;07;20;00;17.60;53.00;1015.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.06;346.68;19.60;352.61;18.78;302.47;18.72
2018;10;07;21;00;15.81;62.00;1015.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.42;353.42;17.58;349.38;18.50;307.09;17.28
2018;10;07;22;00;14.48;67.00;1016.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.07;14.74;16.56;1.25;17.07;312.44;12.24
2018;10;07;23;00;13.48;77.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.76;25.20;7.86;15.95;15.04;312.09;12.96
2018;10;08;00;00;12.34;79.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.99;11.89;2.10;59.04;13.78;303.27;3.24
2018;10;08;01;00;12.41;67.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.59;5.44;2.28;198.43;14.65;297.82;5.76
2018;10;08;02;00;13.41;66.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.74;8.75;6.99;191.89;13.57;291.80;3.96
2018;10;08;03;00;14.08;70.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.61;333.43;6.99;191.89;13.32;288.92;3.96
2018;10;08;04;00;14.45;69.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.41;296.57;2.74;203.20;15.26;289.29;1.80
2018;10;08;05;00;14.43;62.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.22;333.43;1.94;291.80;16.97;287.28;5.04
2018;10;08;06;00;13.80;62.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.26;353.66;2.81;309.81;17.31;286.93;7.20
2018;10;08;07;00;13.48;67.00;1013.70;0.00;0.00;3.30;11.00;0.00;0.00;0.00;0.00;1.80;36.87;0.36;180.00;16.28;288.03;5.76
2018;10;08;08;00;13.49;68.00;1014.10;0.00;0.00;6.90;23.00;0.00;0.00;24.15;9.79;2.88;90.00;6.19;144.46;15.60;288.85;2.16
2018;10;08;09;00;16.53;54.00;1014.10;0.00;0.00;11.10;37.00;0.00;0.00;52.91;161.09;2.88;90.00;9.59;145.71;14.12;289.36;6.48
2018;10;08;10;00;20.36;45.00;1014.00;0.00;0.00;28.20;94.00;0.00;0.00;42.00;347.10;4.90;162.90;6.83;161.57;12.86;287.93;4.32
2018;10;08;11;00;22.31;41.00;1014.10;0.00;0.00;30.00;100.00;0.00;0.00;40.85;489.50;7.21;182.86;7.24;174.29;11.97;285.71;7.20
2018;10;08;12;00;22.72;45.00;1014.10;0.00;0.00;30.00;100.00;0.00;0.00;40.85;596.30;10.03;201.04;9.79;197.10;11.73;287.88;5.40
2018;10;08;13;00;24.31;42.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;703.99;13.75;225.00;12.98;226.12;14.92;278.33;17.28
2018;10;08;14;00;24.58;42.00;1013.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;723.57;17.38;230.04;17.32;226.68;14.06;283.32;19.80
2018;10;08;15;00;25.90;33.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;687.08;17.58;247.11;16.78;247.29;13.78;289.86;19.80
2018;10;08;16;00;26.17;27.00;1012.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;598.08;19.11;273.24;17.94;280.41;13.55;286.99;17.64
2018;10;08;17;00;24.77;31.00;1012.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;463.69;19.59;287.10;20.06;291.04;14.58;290.22;17.64
2018;10;08;18;00;22.54;40.00;1012.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;291.03;20.19;301.14;22.37;303.18;13.44;290.38;18.72
2018;10;08;19;00;19.14;59.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;9.68;98.79;17.08;304.70;23.90;307.04;11.77;293.43;19.44
2018;10;08;20;00;16.75;78.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.02;311.88;24.95;315.00;9.50;294.62;26.28
2018;10;08;21;00;15.24;90.00;1012.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.59;325.71;22.07;326.31;7.42;292.83;16.92
2018;10;08;22;00;14.25;91.00;1012.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.57;350.54;11.73;342.12;3.67;281.31;18.00
2018;10;08;23;00;13.94;88.00;1011.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.02;10.30;5.05;355.91;2.31;218.66;12.24
2018;10;09;00;00;13.88;89.00;1012.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.19;80.54;1.08;270.00;6.16;186.71;5.40
2018;10;09;01;00;13.38;91.00;1011.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.60;90.00;2.62;195.95;9.11;189.09;3.24
2018;10;09;02;00;12.94;89.00;1010.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.32;77.47;4.38;189.46;12.07;197.35;2.88
2018;10;09;03;00;12.65;88.00;1010.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.62;74.05;5.24;195.95;14.65;207.82;4.32
2018;10;09;04;00;12.30;86.00;1009.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.05;45.00;3.42;198.43;15.91;217.65;2.52
2018;10;09;05;00;11.80;84.00;1009.70;0.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;3.89;33.69;2.62;254.05;17.85;228.27;2.52
2018;10;09;06;00;11.33;83.00;1009.80;0.00;0.00;65.00;0.00;0.00;65.00;0.00;0.00;4.10;52.13;4.20;300.96;19.01;232.70;5.04
2018;10;09;07;00;12.26;75.00;1010.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;6.15;69.44;5.09;351.87;17.79;234.06;7.56
2018;10;09;08;00;13.14;72.00;1010.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;4.45;8.21;74.74;5.24;15.95;16.28;234.90;9.72
2018;10;09;09;00;16.90;67.00;1010.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;116.59;3.26;83.66;3.71;60.95;14.29;229.09;6.48
2018;10;09;10;00;18.17;73.00;1010.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;268.78;4.35;204.44;5.00;210.26;12.48;223.83;7.56
2018;10;09;11;00;18.98;72.00;1010.40;0.00;0.00;100.00;0.00;0.00;100.00;0.00;388.04;9.29;215.54;9.59;214.29;12.10;210.38;10.08
2018;10;09;12;00;19.19;70.00;1010.40;0.00;0.00;2.00;0.00;0.00;2.00;58.72;601.64;11.72;222.51;12.23;222.61;13.36;194.04;12.24
2018;10;09;13;00;22.31;47.00;1008.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;689.75;13.10;217.18;12.82;218.16;5.59;255.07;10.44
2018;10;09;14;00;22.27;52.00;1008.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;710.22;15.82;221.31;16.30;223.21;2.52;270.00;12.24
2018;10;09;15;00;21.94;61.00;1008.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;673.73;18.34;223.41;18.84;225.00;0.00;180.00;14.04
2018;10;09;16;00;21.73;63.00;1008.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;583.84;18.34;226.59;19.35;226.51;2.31;128.66;14.76
2018;10;09;17;00;21.26;66.00;1007.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;448.56;17.07;227.56;17.85;228.27;4.69;147.53;14.40
2018;10;09;18;00;20.41;71.00;1007.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;278.57;14.80;228.95;15.82;228.69;7.29;159.78;12.96
2018;10;09;19;00;18.13;85.00;1007.10;0.00;0.00;0.00;0.00;0.00;0.00;8.24;91.67;9.18;228.18;13.78;229.24;10.11;175.91;7.56
2018;10;09;20;00;17.99;85.00;1007.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.79;237.99;11.30;239.35;11.53;181.79;9.72
2018;10;09;21;00;17.79;88.00;1007.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.55;251.57;7.63;250.71;13.68;180.00;8.64
2018;10;09;22;00;17.62;90.00;1007.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.30;236.31;4.68;247.38;16.56;181.25;6.48
2018;10;09;23;00;16.76;96.00;1007.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.30;123.69;2.81;219.81;21.60;180.95;2.88
2018;10;10;00;00;16.89;95.00;1007.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.26;96.34;1.14;198.43;26.76;190.86;1.80
2018;10;10;01;00;17.04;93.00;1007.90;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;5.04;90.00;0.72;90.00;27.68;192.77;0.72
2018;10;10;02;00;17.26;91.00;1007.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;3.76;73.30;1.44;360.00;26.90;192.36;2.88
2018;10;10;03;00;17.17;92.00;1006.90;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;2.81;39.81;4.02;333.43;25.58;193.84;9.00
2018;10;10;04;00;17.03;91.00;1006.80;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;4.02;10.30;5.35;312.27;25.07;201.04;9.72
2018;10;10;05;00;16.75;91.00;1006.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;4.80;347.01;8.23;293.20;23.51;205.39;11.16
2018;10;10;06;00;16.80;91.00;1006.60;0.10;0.00;100.00;0.00;0.00;100.00;0.00;0.00;4.10;307.87;10.82;273.81;19.97;213.98;11.16
2018;10;10;07;00;17.46;91.00;1007.40;0.10;0.00;100.00;0.00;0.00;100.00;0.00;0.00;4.33;265.24;11.88;270.00;17.97;212.74;11.88
2018;10;10;08;00;18.10;88.00;1007.30;0.10;0.00;100.00;0.00;0.00;100.00;0.00;3.56;6.29;256.76;9.96;257.47;14.62;218.00;12.24
2018;10;10;09;00;18.86;84.00;1007.60;0.10;0.00;100.00;0.00;0.00;100.00;0.00;79.21;8.77;250.82;8.89;248.63;14.02;240.80;11.52
2018;10;10;10;00;19.99;74.00;1007.70;0.00;0.00;10.00;0.00;0.00;10.00;53.62;236.74;8.16;228.58;8.40;226.74;18.84;243.92;10.80
2018;10;10;11;00;20.89;68.00;1007.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;462.80;12.60;216.87;13.32;218.42;26.89;243.78;15.48
2018;10;10;12;00;21.35;66.00;1007.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;601.64;15.78;214.78;16.28;215.10;29.34;240.60;16.92
2018;10;10;13;00;23.30;67.00;1007.40;0.00;0.00;10.00;0.00;0.00;10.00;53.62;634.57;17.97;212.74;18.78;212.47;20.66;228.53;18.00
2018;10;10;14;00;23.27;68.00;1007.30;0.00;0.00;10.00;0.00;0.00;10.00;53.62;648.81;19.23;218.16;19.96;219.14;20.24;231.50;18.72
2018;10;10;15;00;21.83;74.00;1007.30;0.00;0.00;12.00;0.00;0.00;12.00;52.34;527.77;18.34;223.41;19.35;223.49;18.58;234.46;17.64
2018;10;10;16;00;21.42;76.00;1007.60;0.00;0.00;100.00;0.00;0.00;100.00;0.00;214.49;16.81;223.26;18.08;224.19;17.28;234.32;16.56
2018;10;10;17;00;20.98;78.00;1007.80;0.00;0.00;10.00;4.00;0.00;10.00;53.62;153.08;15.12;218.23;16.14;218.66;16.06;227.73;15.84
2018;10;10;18;00;20.60;80.00;1007.70;0.00;0.00;35.00;10.00;0.00;35.00;37.66;97.01;13.78;213.27;15.08;213.31;15.31;221.19;14.40
2018;10;10;19;00;20.16;82.00;1007.90;0.00;0.00;43.00;18.00;0.00;43.00;3.70;56.07;12.41;209.54;14.69;210.96;15.19;216.33;14.04
2018;10;10;20;00;19.89;86.00;1008.40;0.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;12.10;210.38;14.20;210.47;14.78;214.08;14.40
2018;10;10;21;00;19.50;91.00;1008.70;0.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;11.61;209.74;13.22;209.36;16.49;216.12;13.32
2018;10;10;22;00;19.50;92.00;1009.40;0.00;0.00;100.00;85.00;30.00;100.00;0.00;0.00;10.59;215.31;11.89;215.13;18.39;220.24;14.04
2018;10;10;23;00;19.36;93.00;1009.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;10.70;222.27;11.99;221.35;19.62;227.23;14.76
2018;10;11;00;00;19.28;93.00;1009.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;11.71;225.00;13.75;225.00;20.24;231.50;16.56
2018;10;11;01;00;19.17;91.00;1010.50;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;12.22;225.00;14.26;225.00;22.47;234.78;15.12
2018;10;11;02;00;19.37;88.00;1010.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;11.48;221.19;14.51;223.99;22.67;237.32;14.40
2018;10;11;03;00;19.47;85.00;1010.40;0.00;0.00;12.00;1.00;0.00;12.00;0.00;0.00;12.03;231.07;15.41;232.59;24.74;248.66;15.48
2018;10;11;04;00;19.33;88.00;1010.30;0.00;0.00;10.00;12.00;0.00;10.00;0.00;0.00;9.69;248.20;14.46;251.11;29.25;256.48;15.48
2018;10;11;05;00;17.53;94.00;1010.50;0.00;0.00;3.90;13.00;0.00;0.00;0.00;0.00;7.95;275.19;15.55;275.31;35.02;255.11;16.20
2018;10;11;06;00;17.13;94.00;1011.30;0.00;0.00;0.30;1.00;0.00;0.00;0.00;0.00;7.20;270.00;16.58;267.51;28.53;280.18;18.00
